ticker,date,drift,return,stopped,days_to_stop,bucket
NOW,2022-04-11,0.021841160243248003,-0.07793869256739519,False,,4
CTSH,2011-08-08,0.022247597431798383,-0.0023830015393612788,False,,4
ANET,2022-05-09,0.02234575732942612,-0.023766325699642155,False,,4
DECK,2011-08-08,0.02235470857148547,0.012755115694524777,True,6.0,4
URI,2020-03-16,0.022467952778850053,0.059341912690280045,True,8.0,4
ADBE,2020-09-10,0.022718633907485408,-0.016609174182709626,False,,4
BKNG,2008-10-27,0.0231426113353288,-0.06607157158246801,True,7.0,4
DECK,2015-08-24,0.023362138005349697,0.002554367431180383,False,,4
BKNG,2015-08-24,0.023839088443663448,0.0970709421433772,False,,4
XYZ,2022-04-11,0.023886860320714742,-0.18798599780247763,False,,4
FTNT,2020-09-08,0.02425920441978735,-0.0034680607424897743,False,,4
NFLX,2020-03-16,0.024595057015898147,0.21584641143240582,False,,4
LITE,2020-03-16,0.024945408315350193,0.04365687313421317,True,11.0,4
ZBRA,2022-05-09,0.02571979506203048,0.0035609728532193107,False,,4
DHI,2008-10-02,0.026489784944864647,-0.5911289380272465,False,,4
PSX,2015-08-24,0.027350817063988675,0.0759305291360215,False,,4
NFLX,2021-03-08,0.028338005080283057,0.011984816405236342,False,,4
LITE,2020-09-08,0.028450305207085247,-0.0007980474270504492,False,,4
RVTY,2008-10-10,0.028557800938944222,0.0031185360585688675,True,2.0,4
WDC,2020-03-16,0.028854859971507274,0.12971074171680447,True,11.0,4
IT,2011-08-19,0.02889097063844326,0.017210136268316047,False,,4
STX,2016-06-27,0.02922855513579936,0.3961826181098494,False,,4
